subject,day,level,time,cst_sd,cst_mean,cst_cv,f_sd,f_mean,f_cv,hpf_cst_sd,hpf_f_sd,bad_wins,window
SFU01,stretch,submax35,post,2.68244095,71.59800988,3.845875529,0.00221624,0.220041752,1.007190722,2.68244095,0.001855646,0,26
SFU01,stretch,submax35,post,2.38958966,69.07920065,4.625960257,0.001606362,0.217525195,0.73847186,2.38958966,0.00096078,0,27
SFU01,stretch,submax35,post,2.550383275,68.38435044,4.055347349,0.002832688,0.217668017,1.301379783,2.550383275,0.002374511,0,28
SFU01,stretch,submax35,post,0.983063561,70.56114016,1.607877475,0.001882201,0.220653851,0.853010499,0.983063561,0.001219829,0,29
SFU01,stretch,submax35,post,1.502449998,67.20729941,2.433119518,0.001734215,0.215564862,0.804497962,1.502449998,0.001428321,0,30
SFU01,control,submax10,before,1.347252608,36.65932449,8.639985286,0.000886315,0.043328332,2.045578337,1.347252608,0.000565418,0,1
SFU01,control,submax10,before,1.093617177,37.00210605,5.675877271,0.001503172,0.043968248,3.418765976,1.093617177,0.000804864,0,2
SFU01,control,submax10,before,0.954149797,33.64578767,3.144553241,0.000514395,0.043914647,1.1713514,0.954149797,0.000601451,0,3
SFU01,control,submax10,before,1.165205054,37.76048181,5.50977439,0.001362001,0.043548564,3.127544132,1.165205054,0.000576237,0,4
SFU01,control,submax10,before,1.737872758,34.47006303,8.098289025,0.000468898,0.045438913,1.031929457,1.737872758,0.00042026,0,5
SFU01,control,submax10,before,0.895443106,38.45612525,5.000798134,0.000296464,0.043619574,0.679657175,0.895443106,0.000347513,0,6
SFU01,control,submax10,before,1.146519375,35.42210134,4.016483291,0.00041438,0.045255746,0.915640408,1.146519375,0.000363799,0,7
SFU01,control,submax10,before,0.980326522,35.94812606,3.540979689,0.000395574,0.045148754,0.87615759,0.980326522,0.000180808,0,8
SFU01,control,submax10,before,2.175992265,37.05261949,4.871724607,0.00060612,0.045105567,1.343780801,2.175992265,0.000369899,0,9
SFU01,control,submax10,before,1.120003216,36.50064227,2.882561337,0.000307116,0.045717586,0.671768173,1.120003216,0.000338774,0,10
SFU01,control,submax10,before,1.313990435,36.17233517,9.427240296,0.000851962,0.044724226,1.904922214,1.313990435,0.000368725,0,11
SFU01,control,submax10,before,1.278546975,34.45826587,4.920774623,0.000540803,0.045124532,1.198468012,1.278546975,0.000227984,0,12
SFU01,control,submax10,before,1.695750139,34.50674383,4.674009102,0.00027939,0.044007964,0.634863228,1.695750139,0.000434171,0,13
SFU01,control,submax10,before,2.154301693,32.52838433,5.0835586,0.000629397,0.044368521,1.418567246,2.154301693,0.00055142,0,14
SFU01,control,submax10,before,1.574698912,32.16644942,5.578675531,0.000629148,0.044074713,1.427458705,1.574698912,0.000351506,0,15
SFU01,control,submax10,before,2.038802945,34.11808884,10.66761094,0.000379959,0.04302361,0.883140261,2.038802945,0.000320164,0,16
SFU01,control,submax10,before,1.813028457,39.12883035,7.107028042,0.00034847,0.043459513,0.801826619,1.813028457,0.000195299,0,17
SFU01,control,submax10,before,2.069686451,35.06431424,5.955933221,0.0002479,0.044236838,0.560393236,2.069686451,0.000417926,0,18
