subject,day,level,time,f_sd,cst_sd,fpc_sd,f_cst_r,fpc_cst_r,f_fpc_r,w
SFU03,control,submax10,before,0.000267933,0.733618286,0.007968278,0.461543021,0.456389963,0.508593831,6
SFU03,control,submax10,pre,0.00058371,1.703880798,0.006330609,0.140414991,0.655936917,-0.096487696,1
SFU03,control,submax10,pre,0.000408656,1.177096668,0.002539868,0.302380107,0.369922729,0.075149765,2
SFU03,control,submax10,pre,0.000262051,1.072780658,0.005731788,0.100820171,0.857971497,0.170532323,3
SFU03,control,submax10,pre,0.000288948,1.618379828,0.004227633,0.44356684,0.881718487,0.257203219,4
SFU03,control,submax10,pre,0.000298194,0.676677093,0.007629488,0.139537896,0.318134489,0.064402013,5
SFU03,control,submax10,pre,0.000271732,1.305947122,0.007032783,0.291228591,0.854282394,0.497623338,6
SFU03,control,submax10,post,0.000435133,1.03794724,0.008487191,0.557582067,0.581843063,0.699694228,1
SFU03,control,submax10,post,0.000245006,0.602006376,0.006136771,0.374707774,0.517561662,0.546712478,2
SFU03,control,submax10,post,0.000324965,0.668702974,0.006962706,0.286651488,0.614524544,0.381879225,3
SFU03,control,submax10,post,0.000225728,0.530644543,0.006407347,0.311509845,0.728385916,0.212549045,4
SFU03,control,submax10,post,0.000263666,0.397725374,0.00619637,0.604040094,0.696676186,0.432556508,5
SFU03,control,submax10,post,0.000249777,0.493014578,0.006327732,0.397756502,0.680025442,0.308740713,6
SFU03,control,submax35,before,0.001747869,0.99173705,0.004520876,0.503413134,-0.023335967,0.356896445,1
SFU03,control,submax35,before,0.001199161,1.316735034,0.003376449,0.699015955,0.7322787,0.365943224,2
SFU03,control,submax35,before,0.001386411,1.397238133,0.007449378,0.726581213,0.824516613,0.411120825,3
SFU03,control,submax35,before,0.001547459,1.337137059,0.002496944,0.775759735,0.844473269,0.731451453,4
SFU03,control,submax35,before,0.002435232,1.494411748,0.005225755,0.884459413,0.768273658,0.625003645,5
SFU03,control,submax35,before,0.001505655,1.161846673,0.006619194,0.716582739,0.540734174,0.524874078,6
SFU03,control,submax35,pre,0.001433083,0.835896337,0.007077966,0.644980311,0.326434598,0.522833941,1
SFU03,control,submax35,pre,0.001797048,1.1342228,0.000992659,0.23875191,0.572434884,0.125519511,2
SFU03,control,submax35,pre,0.001640398,1.077438536,0.001681148,0.667133561,0.585344925,0.148462768,3
SFU03,control,submax35,pre,0.001825031,1.052767174,0.008263504,0.808710821,0.788958634,0.679341517,4
